着空港,合計,稚内,釧路,函館,旭川,利尻,帯広,中標津,紋別,女満別,奥尻,新千歳,丘珠,青森,三沢,花巻,仙台,秋田,大館,山形,庄内,福島,成田,羽田,大島,三宅島,八丈島,調布,新島,神津島,青ヶ島,御蔵島,利島,新潟,富山,小松,能登,松本,静岡,中部,大阪,関西,神戸,但馬,南紀白浜,鳥取,美保,隠岐,出雲,石見,岡山,広島,山口宇部,岩国,徳島,高松,松山,高知,福岡,北九州,佐賀,長崎,福江,壱岐,対馬,熊本,天草,大分,宮崎,鹿児島,種子島,屋久島,奄美,喜界島,沖永良部,与論,徳之島,那覇,南大東島,久米島,宮古島,石垣,与那国,多良間,北大東島,波照間,粟国,下地島,慶良間
中部,5467094,,,619,1130,,22,,,45,,1230866,,,,,3156,2121,,,,,31209,532920,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,651,,477539,,,153941,,,,11635,,,3051,133144,,,,,,,,2530449,,,155736,198840,,,,,,,
大阪,42932721,,,3227,2763,,,,,34,,2597048,,13384,5162,10930,598119,9816,,7,,3375,929,22062611,,,,,,,,,,23162,,,,,,,,,,9,,,,143,829,,,,,,,,19822,3161,676675,,,62387,,,,343748,,26284,185012,397684,31,132,11604,,,,115,15868739,,,1963,3816,,,,,,,
関西,6324404,,,,,,,,,,,426179,,,,,,,,,,,9726,2829049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2328457,,,355107,375886,,,,,,,
但馬,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南紀白浜,5795,,,,,,,,,,,,,,,,,,,,,,,5795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳥取,224770,,,,,,,,,,,,,,,,,,,,,,,224770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美保,506377,,,,,,,,,,,,,,,,,,,,,,,506377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隠岐,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出雲,233735,,,,,,,,,,,,,,,,,,,,,,,220697,,,,,,,,,,,,,,,,,12148,,,,,,,668,,,,,,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石見,116,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岡山,1559496,,,,,,,,,,,12045,,,,,,,,,,,,1282278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265173,,,,,,,,,,,
広島,5129715,,,,,,,,,,,126697,,,,,,,,,,,,4623831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379187,,,,,,,,,,,
山口宇部,1125103,,,,,,,,,,,,,,,,,,,,,,,1125103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岩国,302290,,,,,,,,,,,,,,,,,,,,,,,245526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56764,,,,,,,,,,,
徳島,670727,,,,,,,,,,,24,,,,,,,,,,,,669712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高松,1463381,,,,,,,,,,,,,,,,,,,,,,,1237121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226260,,,,,,,,,,,
松山,3676706,,,,,,,,,,,,,,,,,,,,,,,3438152,,,,,,,,,,,,,,,,1027,81054,,,,,,,,,,,,,,,,,,6513,,,,,,,,,,,158,,,,,,,,149802,,,,,,,,,,,
高知,1954359,,,,,,,,,,,,,,,,,,,,,,,1916806,,,,,,,,,,,,,,,,,33079,,,,,,,,,,,,,,,,,,4474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福岡,65675344,,,,,,,,,,,1408819,,,,448,2324,,,,,,141926,56349058,,,,,,,,,,,,3808,,,,1136891,632335,,,,,,,,38,,,,,,715,,1860,374,,,,,23163,,26446,,36,,17111,1646,,126,17784,,,,,5910436,,,,,,,,,,,
北九州,1120748,,,,,,,,,,,,,,,,,,,,,,,1120748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佐賀,454999,,,,,,,,,,,,,,,,,,,,,,,454999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
長崎,3025061,,,,,,,,,,,,,,,,,,,,,,,2955654,,,,,,,,,,,,,,,,7472,56564,,,,,,,,,,,,,,,,,,,,,,2142,313,2916,,,,,,,,,,,,,,,,,,,,,,,,
福江,72733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43009,,,29724,,,,,,,,,,,,,,,,,,,,,,,,,,,
壱岐,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
対馬,135006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133440,,,1566,,,,,,,,,,,,,,,,,,,,,,,,,,,
熊本,4790915,,,,,,,,,,,,,,,,,,,,,,,4425190,,,,,,,,,,,,,,,,36250,177144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152331,,,,,,,,,,,
天草,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大分,2490132,,,,,,,,,,,,,,,,,,,,,,,2394626,,,,,,,,,,,,,,,,,95506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宮崎,2729417,,,,,,,,,,,,,,,,,,,,,,,2041408,,,,,,,,,,,,,,,,148162,339884,,,,,,,,,,,,,,,,,,12806,,,,,,,,,,,,,,,,,,,187157,,,,,,,,,,,
鹿児島,12388686,,,,,,,,,,,,,,,,,,,,,,,10518051,,,,,,,,,,,,,,,,103566,757180,,,,,,,,,,,,,,,,152,,3878,,,,,,,,,,,,84111,35654,216929,31472,55290,22338,97933,462132,,,,,,,,,,,
種子島,34435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34398,,,,,,,,,,,,,,,,,,,
屋久島,47541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,6661,,,,,,,,,,,40780,,,,,,,,,,,,,,,,,,,
奄美,315738,,,,,,,,,,,,,,,,,,,,,,,119001,,,,,,,,,,,,,,,,,55039,,,,,,,,,,,,,,,,,,39130,,,,,,,,,,,43067,,,,45579,,4516,9406,,,,,,,,,,,,
喜界島,27711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8091,,,19620,,,,,,,,,,,,,,,,
